,Title,Published_date,Views,Likes,Comments,Month
106,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,150797,3948,440,Aug
107,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,77191,2110,157,Aug
108,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4720,191,26,Aug
109,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,140865,4413,505,Aug
110,When To Start Applying To Your First Data Analyst Job,2021-07-21,52606,3119,212,Jul
111,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,128796,5605,364,Jul
112,How to Create a Portfolio Website for FREE,2021-06-29,256963,7093,494,Jun
113,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,113233,2243,371,Jun
114,How To Get a Data Analyst Job (with No Experience),2021-06-08,417839,18610,580,Jun
115,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6138,241,108,Jun
116,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,26668,797,85,Jun
117,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,234506,5269,607,May
118,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,270804,4659,399,May
119,Asking My Family What I Do For a Living,2021-05-11,3654,195,56,May
120,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,1223028,24457,2783,May
121,Advanced SQL Tutorial | Subqueries,2021-04-20,196093,4883,154,Apr
122,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,21645,811,150,Apr
123,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,275385,10282,570,Apr
124,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,22544,832,84,Apr
125,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,142075,3381,288,Mar
126,Best Machine Learning Courses on Coursera,2021-03-23,38914,1337,79,Mar
127,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,15906,472,122,Mar
128,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,199815,4171,114,Mar
129,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,341051,10812,1163,Mar
130,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51514,2391,328,Mar
131,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,19524,503,77,Mar
132,Best Course to Learn Statistics for Data Analysis,2021-02-25,65307,2002,83,Feb
133,DataQuest Review | Is it Worth it?,2021-02-23,19137,370,42,Feb
134,R vs Python | Which is Better for Data Analysis?,2021-02-16,183881,4323,371,Feb
135,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,82169,2314,103,Feb
136,Advanced SQL Tutorial | Temp Tables,2021-02-02,128964,3190,102,Feb
137,IBM Data Analyst Certificate Study Session,2021-01-30,5063,173,22,Jan
138,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,92870,2596,286,Jan
139,DataCamp Review | Is it Worth it?,2021-01-21,129125,2962,244,Jan
140,Best Python Course for Data Analysts,2021-01-19,41405,1229,109,Jan
141,Top 5 Data Analyst Skills,2021-01-12,21089,1072,167,Jan
142,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,13800,462,144,Jan
143,Top 5 Data Analyst Interview Mistakes,2021-01-05,37528,1158,59,Jan
144,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1532,140,101,Dec
145,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,38537,1124,138,Dec
146,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,9546,217,30,Dec
147,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,41578,1425,206,Dec
148,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,63069,2216,130,Dec
149,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2463,92,54,Dec
150,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,177195,3077,140,Dec
151,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,21919,720,193,Dec
152,Intermediate SQL Tutorial | Partition By,2020-12-01,130862,3654,155,Dec
153,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4737,129,18,Nov
154,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,22926,837,158,Nov
155,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,13694,543,202,Nov
156,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,167052,7041,185,Nov
157,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3633,117,78,Nov
158,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,21929,594,64,Nov
159,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,11242,339,111,Nov
160,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,71822,3478,278,Nov
161,Data Analyst Q&A LIVE #4,2020-10-30,3379,104,25,Oct
